index,run,prompt
62,run_062,"Time-lapse of the lakeside town of St. Wolfgang in Austria, depicting a full day cycle. The serene setting transitions through morning with subtle light changes, midday with stronger lighting affecting shadows and reflections, and a sunny afternoon maintaining a consistent, clear sky. The video concludes with enhanced shadows and reflections by day's end."
67,run_067,"Time-lapse of deciduous trees through autumn: starting in darkness, progressing to vibrant yellow leaves illuminated by sunlight, then experiencing gradual leaf drop and reduced leaf density, with most leaves fallen by the end, concluding with darkness likely indicating nightfall."
72,run_072,"Time-lapse of a honeydew melon decomposing over five days as mealworms consume it. Starting intact, mealworms create holes by Day 2, significantly consuming the melon. By Day 3, they penetrate deeper, leaving it largely decomposed by Day 4. By Day 5, mealworms disperse as the decomposition nears completion."
77,run_077,"Time-lapse of the construction of a Dr. Strange-inspired castle in Minecraft: starts with an empty circular area, foundation appears, followed by concentric circles and geometric patterns, and culminates with the emergence of initial vertical structural elements marking the beginning of the castle's construction."
82,run_082,"Time-lapse of night transitioning to dawn over a serene landscape with a reflective water body. It begins with a starry night sky and minimal light on the horizon, progressing through increasing light and a glowing horizon, culminating in a serene early morning with a bright sky, faint stars, and clear reflections in the water."
87,run_087,"Time-lapse capturing a full day-to-night cycle over a city. It starts with a night sky featuring a crescent moon, transitions through a colorful dawn to a bright daylight, and ends with a sunset casting a golden glow, finally returning to a darkened sky."
92,run_092,"Time-lapse of artists creating a large mural on a wall using hydraulic lifts: beginning with outlines, developing a detailed daisy pattern, adding black and white sections, incorporating colored geometric shapes, and refining details. The mural gradually expands downward and laterally, becoming vibrant and detailed before reaching near-completion with artists applying final touches."
97,run_097,"Time-lapse of a busy city sidewalk at night, showing increased pedestrian activity over time. The video features various individuals and groups walking, a stationary person checking their phone, and changes in crowd density. The scenes capture the vibrant, dynamic nature of an urban street, with people continuously moving in different directions."
102,run_102,"Time-lapse of a weather event in Washington D.C. showing storm clouds forming and intensifying, then gradually dissipating to reveal blue skies. A vibrant rainbow appears as the rain stops and the sun shines through. The sequence ends with a mostly clear sky and faint remnants of the rainbow, indicating the storm has passed."
107,run_107,"Time-lapse of tomatoes ripening on a vine: starting fully green, one tomato initiates ripening to orange by mid-sequence, with two tomatoes progressively turning deeper orange, ultimately achieving a consistent orange-red color by the end."
112,run_112,"Time-lapse of a metallic surface undergoing rusting: starting from a clear surface, liquid is sprayed to initiate rusting, orange patches form, progressing to more pronounced orange and greenish patches. Rust spreads and covers more area with mixed hues, ultimately resulting in a fully rusted surface with a uniform green layer."
117,run_117,"Time-lapse of a lettuce seed germinating and growing into a mature plant. Initially, a seedling emerges from the soil, followed by leaves appearing and growing larger. The plant continues to develop, with some leaves turning reddish as it matures, culminating in a fully-grown plant with large green and red leaves."
122,run_122,"Time-lapse of a solar eclipse viewed from a crowded outdoor stadium. Starts with a bright sun, progressing through dimming stages, partial coverage, peak darkness, and receding phases, ultimately returning to full daylight. Changes in ambient light and crowd reactions are evident throughout."
127,run_127,"Time-lapse of a football match in an outdoor stadium: starts with pre-game ceremonies, progresses through various stages of gameplay with players scattered and moving towards the goal, showing intense mid-match action, concentration near one goal, and significant activity around the center field as the match advances."
132,run_132,"Time-lapse of a sunrise, transitioning from a dark pre-dawn sky to a fully illuminated morning. Initially, the horizon glows faintly, then gradually brightens. The sun emerges, rising higher and casting light across the landscape, ending with a fully visible sun in a bright morning sky."
137,run_137,"Time-lapse of green tea infusion in hot water: starting with hot water pouring into a cup, followed by a tea bag being placed in. The water gradually changes color, darkening progressively, indicating the diffusion of tea substances. By the end of the video, the tea is nearly fully diffused, resulting in a darker, richer color."
142,run_142,"Time-lapse of clouds moving over a mountainous valley. The scene transitions from mixed cloud cover and sunshine to progressively clearer skies with dispersing clouds, allowing increasing sunlight to brighten the valley. By the end, there is substantial sunlight with minimal cloud cover."
147,run_147,"Time-lapse of a stream freezing: starting with partially frozen water and initial ice formation, progressively thickening and solidifying, until the stream is entirely covered by dense, layered ice."
