index,run,prompt
76,run_076,"Time-lapse of a Minecraft building being constructed: starting from the foundation, progressively adding floors, surpassing adjacent structures, and finally completing the roof and intricate details. The building reaches its full height, showing a comprehensive architectural design from the ground up by the video's end."
81,run_081,"Time-lapse of white oyster mushrooms growing from small pins to full maturity, showing initial cluster formation, expansion of caps and stems, broader and well-defined gills, and large overlapping caps. The final stage likely indicates the end of the fruiting cycle or harvesting."
86,run_086,"Time-lapse of the transition from night to day: starting with complete darkness, faint pre-dawn light gradually revealing tree silhouettes, early dawn light making the landscape visible, progressing to a bright morning with a clear blue sky and scattered clouds, and ending with a sunlit sky and a clearly visible landscape."
91,run_091,"Time-lapse of an office scene where workers interact and go about their tasks: starting with a black screen, followed by two workers; a third person joins, interacts, and then one person becomes blurry as they walk past the camera and exit, leaving the others engaged in their tasks. The scene ends with one individual interacting with items on the desk."
96,run_096,"Time-lapse of a tree-lined path with various pedestrians: starting with a man pushing a stroller and people walking in both directions. Increased activity by mid-sequence includes families and individuals. The video ends with continuous pedestrian movement, highlighting the dynamic and bustling nature of the path."
101,run_101,"Time-lapse of an unidentified plant growing over six months: broad leaves emerge from a central stem, further elongate, and increase in density. By Day 162, the center has fuller, denser foliage. The plant continues thickening, and by Day 180, it is fully matured with well-developed, elongated leaves."
106,run_106,"Time-lapse of peppers ripening on a plant, where the peppers transition from green to predominantly orange. The video shows the gradual change in hues, reflecting the peppers' ripening stages over time. The natural progression of color indicates maturation, with lighting variations hinting at different times of day or artificial light exposure. The final stage shows mostly orange peppers, indicating full ripeness."
111,run_111,"Time-lapse of a cityscape at night showing varying traffic patterns on a riverbank road. Initially moderate, traffic increases then decreases intermittently, as seen through the light trails of vehicles. The sequence highlights fluctuating congestion, indicating changes in vehicle movement throughout the night, wrapping up with a noticeable decline in traffic."
116,run_116,"Time-lapse of a seed germinating and growing into seedlings over 164 hours. Moist soil initially absorbs the seed, which begins to sprout and break through the soil. The seedlings' stems elongate and rise, showing significant growth at various intervals. By the end, tall seedlings with visible buds have emerged."
121,run_121,"Time-lapse of a snowstorm, showing snow accumulating on a patio, table, and bench. Initially, there is light coverage which progressively thickens. By night, a substantial layer forms, creating distinct shapes. The accumulation continues overnight, resulting in deep snowdrifts and dome-like mounds by the return of daylight."
126,run_126,"Time-lapse of pre-game activities at a professional ice hockey game. Starting with a sparsely populated ice rink, the video shows increasing numbers of players and officials engaging in warm-up routines while spectators steadily fill the stands, culminating in a fully prepared rink and a fully occupied audience ready for the game to begin."
131,run_131,"Time-lapse of storm development: starting with sparse white clouds in a blue sky, the clouds gradually thicken and darken. Over the sequence, the sky becomes increasingly cloud-covered, transforming to dense, dark clouds, culminating in a fully developed storm with an almost entirely darkened sky."
136,run_136,"Time-lapse of a tea bag diffusing in water: starting with clear water, the tea gradually spreads from slight diffusion at the bottom, intensifying and rising upwards, until the entire glass is uniformly filled with a red tea mixture."
141,run_141,"Time-lapse of a busy highway at night, displaying light trails from moving vehicles. The video shows variations in traffic density, starting with vibrant light trails and well-illuminated surroundings. Vehicle movement and speeds vary, creating dynamic patterns. The light trails gradually thin, indicating reduced traffic density, and the scene darkens towards the end."
146,run_146,"Time-lapse of water freezing, starting with initial ice formations at the edges, progressing through detailed and expanding ice patterns, becoming denser, with the ice layer nearly complete by the end, and finally, the water surface is fully frozen."
