index,run,prompt
89,run_089,"Time-lapse of a sunset over an ocean, starting with the sun partially hidden by clouds, descending and casting stronger reflections on the water. As the sun nears and touches the horizon, the sky and water glow with warm hues and an intense orange-red gradient, ending with a final warm glow and silhouetted clouds."
94,run_094,"Time-lapse of a parking lot from early afternoon to later in the day, showing the departure of two cars, activation and deactivation of a sprinkler system, and slight lighting changes. Dust or water spray appears near the end, indicating windy conditions or residual sprinkler activity."
99,run_099,"Time-lapse of a grassy plain and tree line under consistent sunny weather: starting with a lush green plain and clear blue sky, the grass subtly increases in height and density over time, swaying slightly in the wind. The scene ends with the grass appearing lush and mature."
104,run_104,"Time-lapse of a busy fast-food restaurant during a festive period: patrons queuing and dining, crowd increasing around the counter and dining areas, patrons starting and actively eating their meals, the number of diners gradually decreasing, and finally, diners finishing their meals with minimal remaining activity."
109,run_109,"Time-lapse of a river flowing through a narrow gorge. The video shows consistent water movement with variations in mist and light reflections on the surface. The river's flow remains steady, with minor changes in turbulence and mist distribution near the rocks, capturing the serene and continuous movement of the water through the natural landscape."
114,run_114,"Time-lapse of a tree transitioning through seasons: from leafless in winter, to budding in early spring, young leaves in mid-spring, denser foliage in late spring, and fully covered in green leaves by early summer."
119,run_119,"Time-lapse of the sky transitioning from partly cloudy to mostly clear, showing diminishing cloud cover over time. Initially, there is significant cloud cover, which gradually reduces to just a few isolated clouds. The final view includes a high vantage of a clear sky with minimal clouds above a residential area."
124,run_124,"Time-lapse of a spider methodically constructing a web from initial strands to a fully detailed and symmetrical structure under low-light conditions. Starting with minimal strands, the spider weaves concentric circles and radial strands, progressively enhancing the web until it reaches final completion, showcasing its geometric precision and robust integrity."
129,run_129,"Time-lapse of a railway station transitioning from early evening to night. A train arrives and departs as daylight fades. City lights turn on at dusk, and artificial lighting takes over, fully illuminating the station by night. The video concludes with consistent nighttime conditions and minimal changes in lighting."
134,run_134,"Time-lapse of a beach sunset transitioning from daylight to twilight: the sun moves from high in the sky to below the horizon. The sequence includes varying human activities, such as walking along the shore and observing the sunset, enhancing the tranquil and contemplative scene."
139,run_139,"Time-lapse of tidal changes at Halls Harbour, Bay of Fundy. The video shows the transition from high tide with floating boats to low tide where the harbor floor is largely exposed and boats are grounded, then back to high tide with boats floating again. The cycle repeats, demonstrating the natural ebb and flow of tides."
144,run_144,"Time-lapse of a busy transportation hub, likely a train station, showing high foot traffic and dynamic movement. The video captures people arriving, departing, engaging with schedules, and navigating through congested paths. Activity is consistent, with noteworthy moments of people carrying luggage, checking signage, and moving towards exits and various destinations."
149,run_149,"Time-lapse of a window opening progressively, starting from a closed state. As the window opens, more of the sky, clouds, and an external structure become visible. Eventually, the window reveals greenery and an outdoor area, culminating with a fully open view showing both the outside and the indoor floor."
